numClub,AdressePostale
504857,Place de l'Hôtel de Ville 36800 ST GAULTIER
530844, 36500 ST LACTENCIN
852943,BEL AIR 36250 ST MAUR
504912,16 rue de l'Abbé Trinquart 36250 ST MAUR
549977,LE BOURG 36190 SAINT PLANTAIRE
521303, 36100 ST VALENTIN
528294, 36310 TILLY
560595,23 RUE DE LA MAIRIE 36220 TOURNON ST MARTIN
581422,MAIRIE DE VALENCAY 36600 VALENCAY
504885,RUE DE LA CAIGNAUDERIE 36150 VATAN
564132, 36330 VELLES
505008,le bourg 36500 VENDOEUVRES
518706, 36600 VEUIL
517968, 36600 VICQ SUR NAHON
551202,2 PLACE JEAN JAURES 36320 VILLEDIEU SUR INDRE
560141,2 Rue Jean Paul Thibault 36320 VILLEDIEU SUR INDRE
504895,1 place Jean-Paul Thibauld 36320 VILLEDIEU SUR INDRE
854442,MAIRIE 36320 VILLEDIEU SUR INDRE
536069, 36500 VILLEGOUIN
515924,rue delalande 36600 VILLENTROIS
554211,STADE MUNICIPAL 36250 VILLERS LES ORMES
540451,LES MARDELLES 36110 VINEUIL
500358,L'ILE D'OR 37400 AMBOISE
535309, 37800 ANTOGNY LE TILLAC
580508,ROUTE DU NEMAN 37420 AVOINE
500386,3 Allée Chalmin 37190 AZAY LE RIDEAU
554357,4 impasse de La Haye 37510 BALLAN MIRE
529933,les champs du chapitre 37140 BENAIS
582647,39 RUE GAMBETTA 37150 BLERE
563699,11 AVENUE JEAN CAUSERET 37140 BOURGUEIL
505083, 37140 BOURGUEIL
510558,1 place du 8 Mai 37130 BREHEMONT
526302, 37160 LA CELLE ST AVANT
520240,23 AVENUE DE L'HOMMELAIE 37170 CHAMBRAY LES TOURS
511975, 37120 CHAMPIGNY SUR VEUDE
523088, 37210 CHANCAY
528289,19 RUE DE LA MAIRIE 37390 CHANCEAUX SUR CHOISILLE
520957, 37530 CHARGE
500375,36 RUE GAMBETTA 37110 CHATEAU RENAULT
542351, 37150 LA CROIX EN TOURAINE
552056, 37380 CROTELLES
549551,1 RUE BALZAC 37220 CROUZILLES
590283,01 Avenue F.MITTERRAND 37160 DESCARTES
515724,1 rue alfred de vigny 37240 ESVES LE MOUTIER
516870, 37320 ESVRES
538487, 37600 FERRIERE SUR BEAULIEU
521070,ALLEE DE LA POUPARDIERE 37230 FONDETTES
518048, 37460 GENILLE
512272,18 RUE DU LAVOIR 37340 GIZEUX
550075, 37350 LE GRAND PRESSIGNY
520956, 37110 LES HERMITES
505334,Route de Mouzilly 37420 HUISMES
520708, 37140 INGRANDES DE TOURAINE
852747,RUE JOSEPH CUGNOT - B.P. 321 37303 JOUE LES TOURS CEDEX
553790,2 RUE DU CLOS NEUF 37300 JOUE LES TOURS
534021,Route des maisons neuves 37300 JOUE LES TOURS
581822,Mairie - Place Bouchard 37220 L ILE BOUCHARD
581865,MAIRIE RUE DANGE D'ORSAY 37240 CHAPELLE BLANCHE ST MARTIN
544106,6 BIS RUE DU PETIT PLESSIS 37520 LA RICHE
551760,2 PLACE DU 14 JUILLET 37130 LANGEAIS
513787,Place Adolphe LANGLOIS 37130 LIGNIERES DE TOURAINE
531964, 37530 LIMERAY
504934,1 allée du Maquis de Césario 37600 LOCHES
523311,26 TER RUE VICTOR HUGO 37230 LUYNES
518823, 37150 LUZILLE
590131, 37800 MAILLE
582325,MAIRIE 37390 METTRAY
512279,20 LA PIERRE A BIDAULT 37380 MONNAIE
522603, 37250 MONTBAZON
504926,43 rue Descartes 37270 MONTLOUIS SUR LOIRE
552454,1 rue de la Couteauderie 37460 MONTRESOR
511976,rue Maurice Ravel 37260 MONTS
505444,10 avenue des Courvoyeurs 37530 NAZELLES NEGRON
542306,18 RUE DU 8 MAI 1945 37370 NEUVY LE ROI
519669,IMPASSE DES PRIMEVERES 37390 NOTRE DAME D OE
551121, 37380 NOUZILLY
551126,7 rue des Marronniers 37800 NOYANT DE TOURAINE
547586,8 rue Jeanne d'Arc 37460 ORBIGNY
514636,5 rue des sports 37210 PARCAY MESLAY
527844, 37230 PERNAY
526141, 37600 PERRUSSON
511766,22 RUE DE LA CHATAIGNERAIE 37260 PONT DE RUAN
581868,2 PLACE DE LA MAIRIE 37800 PORTS SUR VIENNE
548238,2 bis place du champ de foire 37290 PREUILLY SUR CLAISE
581189,30 RUE DES SABOTIERS 37310 REIGNAC SUR INDRE
582284,MAIRIE 37120 RICHELIEU
553511,1 PLACE DU MARCHE 37120 RICHELIEU
528295, 37220 RILLY SUR VIENNE
551890, 37190 RIVARENNES
560533,14 PLACE OUEGUEDO 37500 RIVIERE
519772,PLACE DU 8 MAI 1945 37210 ROCHECORBON
582286,5 RUE DU 11 NOVEMBRE 37360 ROUZIERS DE TOURAINE
563765, 37340 SAVIGNE SUR LATHAN
511010,RUE DU STADE 37420 SAVIGNY EN VERON
517327,1 rue des Saulniers 37800 SEPMES
582007,La Mairie 37330 SOUVIGNE
538435,6 rue des écoles 37360 ST ANTOINE DU ROCHER
511974,31 rue Frédéric Joliot Curie 37550 ST AVERTIN
515603, 37500 ST BENOIT LA FORET
581867,MAIRIE 37320 ST BRANCHS
849646,204 BOULEVARD CHARLES DE GAULLE 37540 ST CYR SUR LOIRE
511543,35 RUE DE PRENEY 37540 ST CYR SUR LOIRE
511973, 37800 ST EPAIN
547529, 37600 ST FLOVIER
523475,1297 route du stade la jarnière 37600 ST HIPPOLYTE
523937,Mairie de st Martin le beau 37270 ST MARTIN LE BEAU
525565, 37140 ST NICOLAS DE BOURGUEIL
554358,7 rue fabienne landy 37700 ST PIERRE DES CORPS
504935,58 RUE DANIELLE CASANOVA 37700 ST PIERRE DES CORPS
527556, 37800 STE CATHERINE DE FIERBOIS
550520,5 Rue Verdi 37200 TOURS
535037,LES EPINES FORTES 37700 ST PIERRE DES CORPS
522955,5/ 7 RUE PIERRE ET MARIE CURIE 37100 TOURS
582086,2 AVENUE CAMILLE CHAUTEMPS 37000 TOURS
522600,2 Bis Allée Alcuin 37200 TOURS
519004,1 RUE ST LIDOIRE 37000 TOURS
2104,2 AVENUE CAMILLE CHAUTEMPS 37000 TOURS
520472,5 RUE BENJAMIN FRANKLIN 37100 TOURS
547480,12 RUE DU LIGET 37100 TOURS
504917,2 rue jules Ladoumegue 37000 TOURS
546919,26 RUE NICOLAS POUSSIN 37000 TOURS
551127,1 RUE DU STADE 37320 TRUYES
518549,18 rue de La Croix Saint Paul 37250 VEIGNE
582552,39 avenue de la Guérinière 37270 VERETZ
560782, 37190 VILLAINES LES ROCHERS
529944, 37700 LA VILLE AUX DAMES
512577,Place des Martyrs de la Résistan 37110 VILLEDOMER
529266,70 RUE DU CARROI DU VIGNAU 37260 VILLEPERDUE
512278, 37330 VILLIERS AU BOUIN
663878,93 ROUTE DE MONNAIE 37210 VOUVRAY
504943,7 rue Marin Galliot 41240 BEAUCE LA ROMAINE
582692,5 RUE LATHAM 41000 BLOIS
545766,rue Duguay Trouin 41000 BLOIS
533251,20 rue Roland Dorgeles 41000 BLOIS
548235,107 ROUTE DE CHATEAU RENAULT 41000 BLOIS
582111,58 AVENUE DE FRANCE 41000 BLOIS
582469,17 rue Roland Garros 41000 BLOIS
542757,RUE DE CANDY 41250 BRACIEUX
564073,30 bis rue de Sully 41250 BRACIEUX
548236,90 rue nationale 41120 CHAILLES
514350, 41320 CHATRES SUR CHER
526957,Rue du marechal de Lattre 41150 CHAUMONT SUR LOIRE
512415,mairie route de romorantin 41600 CHAUMONT SUR THARONNE
520018,15 RUE DES BASSES ROCHES 41260 LA CHAUSSEE ST VICTOR
505123,11 RUE NATIONALE 41700 CHEMERY
514336,2 les Étangs Frileux 41120 CHITENAY
504966,RUE DU STADE 41700 CONTRES
505208,PLACE DU 18 SEPTEMBRE 1859 41120 CORMERAY
546400, 41110 COUFFY
504928, 41700 COUR CHEVERNY
560589,1 place Saint-Pierre 41220 DHUIZON
549376, 41360 EPUISAY
546906, 41120 FOUGERES SUR BIEVRE
538420,LA BEAUDRONNIERE 41270 DROUE
531723,3 bis rue des TAILLEURS 41230 GY EN SOLOGNE
515257, 41190 HERBAULT
552107,AVENUE DE L'HOTEL DE VILLE 41600 LAMOTTE BEUVRON
582559,LA MAIRIE 9 PLACE DE L'EGLISE 41360 LUNAY
563858,Route de Millançay 41210 MARCILLY EN GAULT
541778,24 rue des Ecoles 41330 MAROLLES
509273, 41500 MAVES
504856, 41500 MER
548255,718 rue alphonse lamartine 41130 MEUSNES
560229,Place du Marché 41170 MONDOUBLEAU
504881, 41800 MONTOIRE SUR LE LOIR
504886,25 RUE NATIONALE 41400 MONTRICHARD
549456, 41160 MOREE
552065,RUE DE LA MAIRIE 41500 MUIDES SUR LOIRE
505060, 41230 MUR DE SOLOGNE
515097,2  rue du stade 41100 NAVEIL
581739,2 rue du stade 41100 NAVEIL
590258,Mairie de Neung sur Beuvron 41210 NEUNG SUR BEUVRON
550400,STADE DE CORDY 41600 NOUAN LE FUZELIER
525443,LE BOURG 41700 OISLY
541188,4 Rue Lecoq 41150 ONZAIN
529050, 41190 ORCHAISE
504948,5 rue de la Salle 41290 OUCQUES
518434, 41200 PRUNIERS EN SOLOGNE
505430,4 rue de la Croix de Pierre 41230 SOINGS EN SOLOGNE
500338,15 AVENUE DE PARIS 41200 ROMORANTIN LANTHENAY
528281,RUE DE LONG EATON 41200 ROMORANTIN LANTHENAY
549377,14 rue hubert fillay 41200 ROMORANTIN LANTHENAY
504920,18 AVENUE DE LA RESISTANCE 41300 SALBRIS
550132, 41120 SAMBIN
504880,stade rue des pâtis 41360 SAVIGNY SUR BRAYE
514349,4 RUE DE BOURGOGNE 41300 SELLES ST DENIS
560140,8 Rue Pressigny 41130 SELLES SUR CHER
527929, 41130 SELLES SUR CHER
510230, 41100 SELOMMES
539676,rue de la mairie 41170 SOUDAY
505440,8 RUE DU BOIS 41300 SOUESMES
505176,RUE DU STADE 41110 ST AIGNAN
505182,18 rue Jules Ferry 41310 ST AMAND LONGPRE
528881, 41350 ST GERVAIS LA FORET
531724, 41320 ST JULIEN SUR CHER
505067,Place de la mairie 41220 ST LAURENT NOUAN
538422,17 RUE SAINT GEORGES 41800 ST MARTIN DES BOIS
534010,Section Football 41100 ST OUEN
524973, 41140 ST ROMAIN SUR CHER
505234,20 rue de la Paix 41210 ST VIATRE
519551, 41500 SUEVRES
505431,1 route de chatres 41300 THEILLAY
864155,76 Rue de la Fontaine Herbault 41140 THESEE
524974, 41220 THOURY
582748,1 IMPASSE DE LA MARIEE 41100 VENDOME
504817, 41103 VENDOME CEDEX
514337,Rue de la tutinière 41160 LA VILLE AUX CLERCS
518553,21 rue des écoles 41000 VILLEBAROU
525259,18 Rue de la Chaussée 41000 VILLEBAROU
505020,RUE DES CHANTELETTES 41200 VILLEFRANCHE SUR CHER
523161,6 RUE BERRY 41100 VILLETRUN
527444,PLACE FORTIER 41100 VILLIERS SUR LOIR
520950,RUE DU STADE 41350 VINEUIL
517966, 41600 VOUZON
511828,126 RUE MAURICE GENEVOIX 45200 AMILLY
520294, 45330 AUGERVILLE LA RIVIERE
535803, 45130 BAULE
518977, 45480 BAZOCHES LES GALLERANDES
526495,1 ALLEE PIERRE DE RONSARD 45190 BEAUGENCY
505375,AVENUE DE CHAMBORD 45190 BEAUGENCY
560857,1 RUE DE LA CITE 45340 BEAUNE LA ROLANDE
553733,COUR D'ANTIN 45270 BELLEGARDE
560105,3 RUE DE VERDUN 45760 BOIGNY SUR BIONNE
526952, 45290 BOISMORAND
560138,15 Avenue Leclerc 45420 BONNY SUR LOIRE
581014, 45430 BOU
519638,15 BIS AVENUE DE LA GARE 45300 BOYNES
582009,58 cité saint jean val jardin 45250 BRIARE
504865,2 BIS RUE DU PORT A BELLEAU 45250 BRIARE
581549,11 AVENUE DU CHATEAU 45120 CEPOY
553261,1 PLACE DU BOURG 45380 CHAINGY
528086,47 TER RUE ROGER SALENGRO 45120 CHALETTE SUR LOING
550720,1 place de la république 45120 CHALETTE SUR LOING
534003,21 BIS RUE MARLIN 45120 CHALETTE SUR LOING
563958, 45400 CHANTEAU
580847,57 PLACE DE L'HOTEL DE VILLE 45220 CHATEAU RENARD
505379,30 RUE BASILE BAUDIN 45110 CHATEAUNEUF SUR LOIRE
519670, 45360 CHATILLON SUR LOIRE
582283,MAIRIE CHEVILLY 45520 CHEVILLY
505081,42 grande rue 45170 CHILLEURS AUX BOIS
505041,RUE DU STADE 45370 CLERY ST ANDRE
547227, 45720 COULLONS
515096,1 PLACE HONORE COMBE 45320 COURTENAY
505352,STADE JACQUES DE GANAY 45570 DAMPIERRE EN BURLY
525135,Route d'Orléans 45150 DARVOY
511540,11 rue des poirier 45680 DORDIVES
582744,RUE ANDRE CHENAL 45450 FAY AUX LOGES
525701,151 RUE MARCELIN BERTHELOT 45400 FLEURY LES AUBRAIS
549470,RUE DU STADE 45520 GIDY
504859,3 CHEMIN DE MONTFORT 45503 GIEN CEDEX
549443,118 RUE DU BOIS DE DEURE 45130 HUISSEAU SUR MAUVES
528298,27 BIS RUE DE COUTES 45140 INGRE
552008,2  CHEMIN DU PARADIS 45150 JARGEAU
582644,29 Place Mairie 45370 JOUY LE POTIER
523929,3 rue d'ingré 45380 LA CHAPELLE ST MESMIN
514523,22 bis rue des près verts 45240 LA FERTE ST AUBIN
550650,18 rue du limousin 45210 LA SELLE SUR LE BIED
511834, 45740 LAILLY EN VAL
516385,19 ET 21 PLACE DU Martroy 45330 LE MALESHERBOIS
590703,34 RUE DE LA MAIRIE 45460 LES BORDES
514712,Route de la forêt 45260 LORRIS
527442,113 Rue des relais 45240 MARCILLY EN VILLETTE
529946,Rue du Vieux Bourg 45760 MARIGNY LES USAGES
539053,CHEMIN DES GREVES 45130 MEUNG SUR LOIRE
500113, 45203 MONTARGIS CEDEX
526955,RUE DE LA POSTE 45340 NANCRAY SUR RIMARDE
505347,21 RUE DE LA GADROUE 45170 NEUVILLE AUX BOIS
564164, 45500 NEVOY
505032, 45290 NOGENT SUR VERNISSON
518551,230 RUE DE L'YVETTE 45160 OLIVET
548992,Place Ernest Renan 45100 ORLEANS
890621,16 AVENUE DES DROITS DE L'HOMME 45029 ORLEANS CEDEX 1
513055,Avenue du champ de mars 45100 ORLEANS
551718,3 AVENUE CLAUDE GUILLEMIN 45060 ORLEANS CEDEX 2
511656,2 RUE EUGENE SUE 45000 ORLEANS
523312,232 BIS FAUBOURG ST.VINCENT 45000 ORLEANS
504891,7 rue Beaumarchais 45100 ORLEANS
550128,147 Route Nationale 157 45140 ORMES
505252,RUE DE LA LOIRE 45250 OUSSON SUR LOIRE
533258, 45700 PANNES
505053,ROUTE DU PONT 45310 PATAY
522511,120  RUE DE L'EGLISE 45200 PAUCOURT
500287,16 rue gabriel lelong 45300 PITHIVIERS
505151,Route de Toury 45300 PITHIVIERS LE VIEIL
581773,STADE PIERRE AUDIGIER 45500 POILLY LEZ GIEN
505399,2 PROMENADE DU PARC 45390 PUISEAUX
515177, 45640 SANDILLON
524215,96 avenue du Stade 45770 SARAN
533249,rue de la Valinière 45400 SEMOY
517468, 45300 SERMAISES
523930,8 place du Martroi 45730 ST BENOIT SUR LOIRE
512275,282 ALLEE DE LIMERE 45590 ST CYR EN VAL
527554, 45590 ST CYR EN VAL
523153,60 rue de Saint Denis - BP 25 45560 ST DENIS EN VAL
524970,BP 60042 45801 ST JEAN DE BRAYE CEDEX
500281,71 rue Charles Beauhaire 45140 ST JEAN DE LA RUELLE
524180,ROUTE DE ST CYR EN VAL 45650 ST JEAN LE BLANC
530833, 45170 ST LYE LA FORET
539861, 45110 ST MARTIN D ABBAT
581043,42 RUE DU DOCTEUR CHARPENTIER 45230 ST MAURICE SUR AVEYRON
548861,PLACE DE LA SALLE DES FETES 45750 ST.PRYVE ST.MESMIN
504951,RTE DE GIEN 45600 SULLY SUR LOIRE
545601,32 Rue de SULLY 45510 TIGY
522765,100 RUE CHAMBON 45700 VILLEMANDEUR
564070,mairie de vitry rue Gambetta 45530 VITRY AUX LOGES
