numClub,AdressePostale,Latitude,Longitude
521071,36150 BUXEUIL,47.132904,1.686243
504869,36500 BUZANCAIS,46.888616,1.421823
560383,45 rue de Paumule 36200 CEAULMONT,46.57526,1.534774
504888,9 PL ALBERT BOIVIN 36210 CHABRIS,47.2545045,1.6542656
551976,36400 CHASSIGNOLLES,46.541064,1.938525
853505,28 ALLEE DES SABLONS 36000 CHATEAUROUX,46.7984257,1.737875
851775,RUE CHARLES CROS 36000 CHATEAUROUX,46.793065,1.719392
582040,3 RUE SIMONE WEIL 36000 CHATEAUROUX,46.8087549,1.6758041
522503,RUE DU CHAMP LE ROY 36000 CHATEAUROUX,46.7952556,1.6855338
560541,110 RUE DE BELLE RIVE 36000 CHATEAUROUX,46.82498959999999,1.6897219
504993,3 RUE D'AUVERGNE 36000 CHATEAUROUX,46.8053156,1.6835546
546126,5 rue frédéric chopin 36000 CHATEAUROUX,46.8179715,1.7112268
563691,10/154 RUE EISENHOWER 36000 CHATEAUROUX,46.7929193,1.6886936
500098,10 ALLEE DE BEAUMARCHAIS 36000 CHATEAUROUX,46.7967361,1.723667
581737,120 rue Montaigne BP 15 36000 CHATEAUROUX,46.7922825,1.7107022
590298,13 RUE CHAUVIGNY 36000 CHATEAUROUX,46.8122283,1.7041966
560637,30 Bel Air 36500 CHEZELLES,46.8829975,1.5707995
516928,36300 CIRON,46.6269909,1.245468
548217,36700 CLION,46.941163,1.232358
504905,36340 CLUIS,46.5439269,1.749891
590695,36130 COINGS,46.8862809,1.714758
560406,36300 CONCREMIERS,46.5967709,1.016823
504896,181 AVENUE DU GL DE GAULLE 36130 DEOLS,46.8365541,1.7030284
548187,2 rue des ecoles 36130 DIORS,46.8255772,1.8141594
524568,36240 ECUEILLE,47.083915,1.346552
521075,36270 EGUZON CHANTOME,46.43818630000001,1.5692119
522508,RUE SULLY 36120 ETRECHET,46.777584,1.783819
547419,36110 FRANCILLON,46.94166,1.56207
528794,5 Chemin de la Fosse Gaultier 36300 INGRANDES,46.602902,0.969408
500120,Route de Bourges 36100 ISSOUDUN,46.9593461,2.0212053
539717,36120 JEU LES BOIS,46.673347,1.795095
504955,CHEMIN DE LA JUSTICE 36400 LA CHATRE,46.581574,1.973452
504874,5 RUE PIERRE DE COUBERTIN 36300 LE BLANC,46.63908050000001,1.0569017
513277,RUE DU 30 AOUT 44 36330 LE POINCONNET,46.763343,1.720795
520564,36800 LE PONT CHRETIEN CHABENET,46.628738,1.478132
860322,36100 LES BORDES,46.979985,1.974037
544727,36110 LEVROUX,46.979735,1.614733
517326,36370 LIGNAC,46.466248,1.217761
516380,29 rue de villelune 36150 VATAN,47.0620032,1.8094767
526408,RUE DU 8 MAI 36350 LUANT,46.7365486,1.5545137
511653,36120 MARON,46.8078069,1.866624
547636,33 route du stade 36220 MARTIZAY,46.807785,1.0470135
560555,10 RUE DE LA MAIRIE 36140 MONTCHEVRIER,46.4810153,1.7409587
525434,36140 MONTCHEVRIER,46.480073,1.744343
525435,RUE DU PONT 36400 MONTGIVRAY,46.6010068,1.9795456
564142,20D Chemin du Ch'tit Village 36130 MONTIERCHAUME,46.864117,1.789191
560632,1 Place Raymond Couturier 36130 MONTIERCHAUME,46.8638284,1.7724861
510635,2 chemin de croix 36130 MONTIERCHAUME,46.8606554,1.772407
563807,14 RUE DE LA REPUBLIQUE 36230 MONTIPOURET,46.6492066,1.9021474
520959,36200 MOSNAY,46.622392,1.626853
512285,36110 MOULINS SUR CEPHONS,47.009257,1.5549
514988,36100 NEUVY PAILLOUX,46.8863879,1.858864
581385,Mairie place Georges Clémenceau 36230 NEUVY ST SEPULCHRE,46.5959363,1.8074156
505274,Place de l'Eglise 36250 NIHERNE,46.8287199,1.563968
522509,36400 NOHANT VIC,46.6393757,1.956329
529338,36290 OBTERRE,46.915743,1.037207
505308,36500 PALLUAU SUR INDRE,46.943575,1.314993
540468,36170 PARNAC,46.45411,1.443284
505033,36210 POULAINES,47.151962,1.662076
